,gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,math_grades,reading_grades,writing_grades
32,female,group E,master's degree,free/reduced,none,56,72,65,Sufficient(D),Satisfactory(C),Satisfactory(C)
33,male,group D,some college,standard,none,40,42,38,Fail(F),Fail(F),Fail(F)
34,male,group E,some college,standard,none,97,87,82,Really good(A),Good(B),Good(B)
35,male,group E,associate's degree,standard,completed,81,81,79,Good(B),Good(B),Satisfactory(C)
36,female,group D,associate's degree,standard,none,74,81,83,Satisfactory(C),Good(B),Good(B)
37,female,group D,some high school,free/reduced,none,50,64,59,Fail(F),Satisfactory(C),Sufficient(D)
38,female,group D,associate's degree,free/reduced,completed,75,90,88,Satisfactory(C),Really good(A),Good(B)
39,male,group B,associate's degree,free/reduced,none,57,56,57,Sufficient(D),Sufficient(D),Sufficient(D)
40,male,group C,associate's degree,free/reduced,none,55,61,54,Sufficient(D),Sufficient(D),Sufficient(D)
41,female,group C,associate's degree,standard,none,58,73,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
42,female,group B,associate's degree,standard,none,53,58,65,Sufficient(D),Sufficient(D),Satisfactory(C)
43,male,group B,some college,free/reduced,completed,59,65,66,Sufficient(D),Satisfactory(C),Satisfactory(C)
44,female,group E,associate's degree,free/reduced,none,50,56,54,Fail(F),Sufficient(D),Sufficient(D)
45,male,group B,associate's degree,standard,none,65,54,57,Satisfactory(C),Sufficient(D),Sufficient(D)
46,female,group A,associate's degree,standard,completed,55,65,62,Sufficient(D),Satisfactory(C),Sufficient(D)
47,female,group C,high school,standard,none,66,71,76,Satisfactory(C),Satisfactory(C),Satisfactory(C)
48,female,group D,associate's degree,free/reduced,completed,57,74,76,Sufficient(D),Satisfactory(C),Satisfactory(C)
49,male,group C,high school,standard,completed,82,84,82,Good(B),Good(B),Good(B)
50,male,group E,some college,standard,none,53,55,48,Sufficient(D),Sufficient(D),Fail(F)
51,male,group E,associate's degree,free/reduced,completed,77,69,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
52,male,group C,some college,standard,none,53,44,42,Sufficient(D),Fail(F),Fail(F)
53,male,group D,high school,standard,none,88,78,75,Good(B),Satisfactory(C),Satisfactory(C)
54,female,group C,some high school,free/reduced,completed,71,84,87,Satisfactory(C),Good(B),Good(B)
55,female,group C,high school,free/reduced,none,33,41,43,Fail(F),Fail(F),Fail(F)
56,female,group E,associate's degree,standard,completed,82,85,86,Good(B),Good(B),Good(B)
57,male,group D,associate's degree,standard,none,52,55,49,Sufficient(D),Sufficient(D),Fail(F)
58,male,group D,some college,standard,completed,58,59,58,Sufficient(D),Sufficient(D),Sufficient(D)
59,female,group C,some high school,free/reduced,none,0,17,10,,Fail(F),Fail(F)
60,male,group E,bachelor's degree,free/reduced,completed,79,74,72,Satisfactory(C),Satisfactory(C),Satisfactory(C)
61,male,group A,some high school,free/reduced,none,39,39,34,Fail(F),Fail(F),Fail(F)
62,male,group A,associate's degree,free/reduced,none,62,61,55,Sufficient(D),Sufficient(D),Sufficient(D)
63,female,group C,associate's degree,standard,none,69,80,71,Satisfactory(C),Good(B),Satisfactory(C)
64,female,group D,some high school,standard,none,59,58,59,Sufficient(D),Sufficient(D),Sufficient(D)
65,male,group B,some high school,standard,none,67,64,61,Satisfactory(C),Satisfactory(C),Sufficient(D)
66,male,group D,some high school,free/reduced,none,45,37,37,Fail(F),Fail(F),Fail(F)
67,female,group C,some college,standard,none,60,72,74,Sufficient(D),Satisfactory(C),Satisfactory(C)
68,male,group B,associate's degree,free/reduced,none,61,58,56,Sufficient(D),Sufficient(D),Sufficient(D)
69,female,group C,associate's degree,standard,none,39,64,57,Fail(F),Satisfactory(C),Sufficient(D)
70,female,group D,some college,free/reduced,completed,58,63,73,Sufficient(D),Sufficient(D),Satisfactory(C)
71,male,group D,some college,standard,completed,63,55,63,Sufficient(D),Sufficient(D),Sufficient(D)
72,female,group A,associate's degree,free/reduced,none,41,51,48,Fail(F),Sufficient(D),Fail(F)
73,male,group C,some high school,free/reduced,none,61,57,56,Sufficient(D),Sufficient(D),Sufficient(D)
74,male,group C,some high school,standard,none,49,49,41,Fail(F),Fail(F),Fail(F)
75,male,group B,associate's degree,free/reduced,none,44,41,38,Fail(F),Fail(F),Fail(F)
76,male,group E,some high school,standard,none,30,26,22,Fail(F),Fail(F),Fail(F)
77,male,group A,bachelor's degree,standard,completed,80,78,81,Good(B),Satisfactory(C),Good(B)
78,female,group D,some high school,standard,completed,61,74,72,Sufficient(D),Satisfactory(C),Satisfactory(C)
79,female,group E,master's degree,standard,none,62,68,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
80,female,group B,associate's degree,standard,none,47,49,50,Fail(F),Fail(F),Fail(F)
81,male,group B,high school,free/reduced,none,49,45,45,Fail(F),Fail(F),Fail(F)
82,male,group A,some college,free/reduced,completed,50,47,54,Fail(F),Fail(F),Sufficient(D)
83,male,group E,associate's degree,standard,none,72,64,63,Satisfactory(C),Satisfactory(C),Sufficient(D)
84,male,group D,high school,free/reduced,none,42,39,34,Fail(F),Fail(F),Fail(F)
85,female,group C,some college,standard,none,73,80,82,Satisfactory(C),Good(B),Good(B)
86,female,group C,some college,free/reduced,none,76,83,88,Satisfactory(C),Good(B),Good(B)
87,female,group D,associate's degree,standard,none,71,71,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
88,female,group A,some college,standard,none,58,70,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
89,female,group D,some high school,standard,none,73,86,82,Satisfactory(C),Good(B),Good(B)
90,female,group C,bachelor's degree,standard,none,65,72,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
91,male,group C,high school,free/reduced,none,27,34,36,Fail(F),Fail(F),Fail(F)
92,male,group C,high school,standard,none,71,79,71,Satisfactory(C),Satisfactory(C),Satisfactory(C)
93,male,group C,associate's degree,free/reduced,completed,43,45,50,Fail(F),Fail(F),Fail(F)
94,female,group B,some college,standard,none,79,86,92,Satisfactory(C),Good(B),Really good(A)
95,male,group C,associate's degree,free/reduced,completed,78,81,82,Satisfactory(C),Good(B),Good(B)
96,male,group B,some high school,standard,completed,65,66,62,Satisfactory(C),Satisfactory(C),Sufficient(D)
97,female,group E,some college,standard,completed,63,72,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
98,female,group D,some college,free/reduced,none,58,67,62,Sufficient(D),Satisfactory(C),Sufficient(D)
99,female,group D,bachelor's degree,standard,none,65,67,62,Satisfactory(C),Satisfactory(C),Sufficient(D)
100,male,group B,some college,standard,none,79,67,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
101,male,group D,bachelor's degree,standard,completed,68,74,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
102,female,group D,associate's degree,standard,none,85,91,89,Good(B),Really good(A),Good(B)
103,male,group B,high school,standard,completed,60,44,47,Sufficient(D),Fail(F),Fail(F)
104,male,group C,some college,standard,completed,98,86,90,Really good(A),Good(B),Really good(A)
105,female,group C,some college,standard,none,58,67,72,Sufficient(D),Satisfactory(C),Satisfactory(C)
106,female,group D,master's degree,standard,none,87,100,100,Good(B),Really good(A),Really good(A)
107,male,group E,associate's degree,standard,completed,66,63,64,Satisfactory(C),Sufficient(D),Satisfactory(C)
108,female,group B,associate's degree,free/reduced,none,52,76,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
109,female,group B,some high school,standard,none,70,64,72,Satisfactory(C),Satisfactory(C),Satisfactory(C)
110,female,group D,associate's degree,free/reduced,completed,77,89,98,Satisfactory(C),Good(B),Really good(A)
111,male,group C,high school,standard,none,62,55,49,Sufficient(D),Sufficient(D),Fail(F)
112,male,group A,associate's degree,standard,none,54,53,47,Sufficient(D),Sufficient(D),Fail(F)
113,female,group D,some college,standard,none,51,58,54,Sufficient(D),Sufficient(D),Sufficient(D)
114,female,group E,bachelor's degree,standard,completed,99,100,100,Really good(A),Really good(A),Really good(A)
115,male,group C,high school,standard,none,84,77,74,Good(B),Satisfactory(C),Satisfactory(C)
116,female,group B,bachelor's degree,free/reduced,none,75,85,82,Satisfactory(C),Good(B),Good(B)
117,female,group D,bachelor's degree,standard,none,78,82,79,Satisfactory(C),Good(B),Satisfactory(C)
118,female,group D,some high school,standard,none,51,63,61,Sufficient(D),Sufficient(D),Sufficient(D)
119,female,group C,some college,standard,none,55,69,65,Sufficient(D),Satisfactory(C),Satisfactory(C)
120,female,group C,bachelor's degree,standard,completed,79,92,89,Satisfactory(C),Really good(A),Good(B)
121,male,group B,associate's degree,standard,completed,91,89,92,Really good(A),Good(B),Really good(A)
122,female,group C,some college,standard,completed,88,93,93,Good(B),Really good(A),Really good(A)
123,male,group D,high school,free/reduced,none,63,57,56,Sufficient(D),Sufficient(D),Sufficient(D)
124,male,group E,some college,standard,none,83,80,73,Good(B),Good(B),Satisfactory(C)
125,female,group B,high school,standard,none,87,95,86,Good(B),Really good(A),Good(B)
126,male,group B,some high school,standard,none,72,68,67,Satisfactory(C),Satisfactory(C),Satisfactory(C)
127,male,group D,some college,standard,completed,65,77,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
128,male,group D,master's degree,standard,none,82,82,74,Good(B),Good(B),Satisfactory(C)
129,female,group A,bachelor's degree,standard,none,51,49,51,Sufficient(D),Fail(F),Sufficient(D)
130,male,group D,master's degree,standard,none,89,84,82,Good(B),Good(B),Good(B)
131,male,group C,some high school,free/reduced,completed,53,37,40,Sufficient(D),Fail(F),Fail(F)
132,male,group E,some college,free/reduced,completed,87,74,70,Good(B),Satisfactory(C),Satisfactory(C)
133,female,group C,some college,standard,completed,75,81,84,Satisfactory(C),Good(B),Good(B)
134,male,group D,bachelor's degree,free/reduced,completed,74,79,75,Satisfactory(C),Satisfactory(C),Satisfactory(C)
135,male,group C,bachelor's degree,standard,none,58,55,48,Sufficient(D),Sufficient(D),Fail(F)
136,male,group B,some high school,standard,completed,51,54,41,Sufficient(D),Sufficient(D),Fail(F)
137,male,group E,high school,standard,none,70,55,56,Satisfactory(C),Sufficient(D),Sufficient(D)
138,female,group C,associate's degree,standard,none,59,66,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
139,male,group D,some college,standard,completed,71,61,69,Satisfactory(C),Sufficient(D),Satisfactory(C)
140,female,group D,some high school,standard,none,76,72,71,Satisfactory(C),Satisfactory(C),Satisfactory(C)
141,female,group C,some college,free/reduced,none,59,62,64,Sufficient(D),Sufficient(D),Satisfactory(C)
142,female,group E,some college,free/reduced,completed,42,55,54,Fail(F),Sufficient(D),Sufficient(D)
143,male,group A,high school,standard,none,57,43,47,Sufficient(D),Fail(F),Fail(F)
144,male,group D,some college,standard,none,88,73,78,Good(B),Satisfactory(C),Satisfactory(C)
145,female,group C,some college,free/reduced,none,22,39,33,Fail(F),Fail(F),Fail(F)
146,male,group B,some high school,standard,none,88,84,75,Good(B),Good(B),Satisfactory(C)
147,male,group C,associate's degree,free/reduced,none,73,68,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
148,female,group D,bachelor's degree,standard,completed,68,75,81,Satisfactory(C),Satisfactory(C),Good(B)
149,male,group E,associate's degree,free/reduced,completed,100,100,93,Really good(A),Really good(A),Really good(A)
150,male,group A,some high school,standard,completed,62,67,69,Sufficient(D),Satisfactory(C),Satisfactory(C)
151,male,group A,bachelor's degree,standard,none,77,67,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
152,female,group B,associate's degree,standard,completed,59,70,66,Sufficient(D),Satisfactory(C),Satisfactory(C)
153,male,group D,bachelor's degree,standard,none,54,49,47,Sufficient(D),Fail(F),Fail(F)
154,male,group D,some high school,standard,none,62,67,61,Sufficient(D),Satisfactory(C),Sufficient(D)
155,female,group C,some college,standard,completed,70,89,88,Satisfactory(C),Good(B),Good(B)
156,female,group E,high school,free/reduced,completed,66,74,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
157,male,group B,some college,free/reduced,none,60,60,60,Sufficient(D),Sufficient(D),Sufficient(D)
158,female,group B,associate's degree,standard,completed,61,86,87,Sufficient(D),Good(B),Good(B)
159,male,group D,associate's degree,free/reduced,none,66,62,64,Satisfactory(C),Sufficient(D),Satisfactory(C)
160,male,group B,associate's degree,free/reduced,completed,82,78,74,Good(B),Satisfactory(C),Satisfactory(C)
161,female,group E,some college,free/reduced,completed,75,88,85,Satisfactory(C),Good(B),Good(B)
162,male,group B,master's degree,free/reduced,none,49,53,52,Fail(F),Sufficient(D),Sufficient(D)
163,male,group C,high school,standard,none,52,53,49,Sufficient(D),Sufficient(D),Fail(F)
164,female,group E,master's degree,standard,none,81,92,91,Good(B),Really good(A),Really good(A)
165,female,group C,bachelor's degree,standard,completed,96,100,100,Really good(A),Really good(A),Really good(A)
166,male,group C,high school,free/reduced,completed,53,51,51,Sufficient(D),Sufficient(D),Sufficient(D)
167,female,group B,master's degree,free/reduced,completed,58,76,78,Sufficient(D),Satisfactory(C),Satisfactory(C)
168,female,group B,high school,standard,completed,68,83,78,Satisfactory(C),Good(B),Satisfactory(C)
169,female,group C,some college,free/reduced,completed,67,75,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
170,male,group A,high school,standard,completed,72,73,74,Satisfactory(C),Satisfactory(C),Satisfactory(C)
171,male,group E,some high school,standard,none,94,88,78,Really good(A),Good(B),Satisfactory(C)
172,female,group D,some college,standard,none,79,86,81,Satisfactory(C),Good(B),Good(B)
173,female,group C,associate's degree,standard,none,63,67,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
174,female,group C,bachelor's degree,free/reduced,completed,43,51,54,Fail(F),Sufficient(D),Sufficient(D)
175,female,group C,master's degree,standard,completed,81,91,87,Good(B),Really good(A),Good(B)
176,female,group B,high school,free/reduced,completed,46,54,58,Fail(F),Sufficient(D),Sufficient(D)
177,female,group C,associate's degree,standard,completed,71,77,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
178,female,group B,master's degree,free/reduced,completed,52,70,62,Sufficient(D),Satisfactory(C),Sufficient(D)
179,female,group D,some high school,standard,completed,97,100,100,Really good(A),Really good(A),Really good(A)
180,male,group C,master's degree,free/reduced,completed,62,68,75,Sufficient(D),Satisfactory(C),Satisfactory(C)
181,female,group C,some college,free/reduced,none,46,64,66,Fail(F),Satisfactory(C),Satisfactory(C)
182,female,group E,high school,standard,none,50,50,47,Fail(F),Fail(F),Fail(F)
183,female,group D,associate's degree,standard,none,65,69,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
184,male,group C,some high school,free/reduced,completed,45,52,49,Fail(F),Sufficient(D),Fail(F)
185,male,group C,associate's degree,free/reduced,completed,65,67,65,Satisfactory(C),Satisfactory(C),Satisfactory(C)
186,male,group E,high school,standard,none,80,76,65,Good(B),Satisfactory(C),Satisfactory(C)
187,male,group D,some high school,standard,completed,62,66,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
188,male,group B,some high school,free/reduced,none,48,52,45,Fail(F),Sufficient(D),Fail(F)
189,female,group C,bachelor's degree,standard,none,77,88,87,Satisfactory(C),Good(B),Good(B)
190,female,group E,associate's degree,standard,none,66,65,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
191,male,group D,some college,standard,completed,76,83,79,Satisfactory(C),Good(B),Satisfactory(C)
192,female,group B,some high school,standard,none,62,64,66,Sufficient(D),Satisfactory(C),Satisfactory(C)
193,male,group D,some college,standard,completed,77,62,62,Satisfactory(C),Sufficient(D),Sufficient(D)
194,female,group C,master's degree,standard,completed,69,84,85,Satisfactory(C),Good(B),Good(B)
195,male,group D,associate's degree,standard,none,61,55,52,Sufficient(D),Sufficient(D),Sufficient(D)
196,male,group C,some high school,free/reduced,completed,59,69,65,Sufficient(D),Satisfactory(C),Satisfactory(C)
197,male,group E,high school,free/reduced,none,55,56,51,Sufficient(D),Sufficient(D),Sufficient(D)
198,female,group B,some college,free/reduced,none,45,53,55,Fail(F),Sufficient(D),Sufficient(D)
199,female,group B,bachelor's degree,free/reduced,none,78,79,76,Satisfactory(C),Satisfactory(C),Satisfactory(C)
200,female,group C,associate's degree,standard,completed,67,84,86,Satisfactory(C),Good(B),Good(B)
201,female,group D,some college,free/reduced,none,65,81,77,Satisfactory(C),Good(B),Satisfactory(C)
202,male,group C,associate's degree,standard,none,69,77,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
203,female,group B,associate's degree,standard,none,57,69,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
204,male,group C,some college,standard,none,59,41,42,Sufficient(D),Fail(F),Fail(F)
205,male,group D,some high school,standard,completed,74,71,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
206,male,group E,bachelor's degree,standard,none,82,62,62,Good(B),Sufficient(D),Sufficient(D)
207,male,group E,high school,standard,completed,81,80,76,Good(B),Good(B),Satisfactory(C)
208,female,group B,some college,free/reduced,none,74,81,76,Satisfactory(C),Good(B),Satisfactory(C)
209,female,group B,some college,free/reduced,none,58,61,66,Sufficient(D),Sufficient(D),Satisfactory(C)
210,male,group D,some high school,free/reduced,completed,80,79,79,Good(B),Satisfactory(C),Satisfactory(C)
211,male,group C,some college,free/reduced,none,35,28,27,Fail(F),Fail(F),Fail(F)
212,female,group C,high school,free/reduced,none,42,62,60,Fail(F),Sufficient(D),Sufficient(D)
213,male,group C,associate's degree,free/reduced,completed,60,51,56,Sufficient(D),Sufficient(D),Sufficient(D)
214,male,group E,high school,standard,completed,87,91,81,Good(B),Really good(A),Good(B)
215,male,group B,some high school,standard,completed,84,83,75,Good(B),Good(B),Satisfactory(C)
216,female,group E,associate's degree,free/reduced,completed,83,86,88,Good(B),Good(B),Good(B)
217,female,group C,high school,free/reduced,none,34,42,39,Fail(F),Fail(F),Fail(F)
218,male,group B,high school,free/reduced,none,66,77,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
219,male,group B,some high school,standard,completed,61,56,56,Sufficient(D),Sufficient(D),Sufficient(D)
220,female,group D,high school,standard,completed,56,68,74,Sufficient(D),Satisfactory(C),Satisfactory(C)
221,male,group B,associate's degree,standard,none,87,85,73,Good(B),Good(B),Satisfactory(C)
222,female,group C,some high school,free/reduced,none,55,65,62,Sufficient(D),Satisfactory(C),Sufficient(D)
223,male,group D,some high school,standard,none,86,80,75,Good(B),Good(B),Satisfactory(C)
224,female,group B,associate's degree,standard,completed,52,66,73,Sufficient(D),Satisfactory(C),Satisfactory(C)
225,female,group E,master's degree,free/reduced,none,45,56,54,Fail(F),Sufficient(D),Sufficient(D)
226,female,group C,some college,standard,none,72,72,71,Satisfactory(C),Satisfactory(C),Satisfactory(C)
227,male,group D,high school,standard,none,57,50,54,Sufficient(D),Fail(F),Sufficient(D)
228,male,group A,some high school,free/reduced,none,68,72,64,Satisfactory(C),Satisfactory(C),Satisfactory(C)
229,female,group C,some college,standard,completed,88,95,94,Good(B),Really good(A),Really good(A)
230,male,group D,some college,standard,none,76,64,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
231,male,group C,associate's degree,standard,none,46,43,42,Fail(F),Fail(F),Fail(F)
232,female,group B,bachelor's degree,standard,none,67,86,83,Satisfactory(C),Good(B),Good(B)
233,male,group E,some high school,standard,none,92,87,78,Really good(A),Good(B),Satisfactory(C)
234,male,group C,bachelor's degree,standard,completed,83,82,84,Good(B),Good(B),Good(B)
235,male,group D,associate's degree,standard,none,80,75,77,Good(B),Satisfactory(C),Satisfactory(C)
236,male,group D,bachelor's degree,free/reduced,none,63,66,67,Sufficient(D),Satisfactory(C),Satisfactory(C)
237,female,group D,some high school,standard,completed,64,60,74,Satisfactory(C),Sufficient(D),Satisfactory(C)
238,male,group B,some college,standard,none,54,52,51,Sufficient(D),Sufficient(D),Sufficient(D)
239,male,group C,associate's degree,standard,none,84,80,80,Good(B),Good(B),Good(B)
240,male,group D,high school,free/reduced,completed,73,68,66,Satisfactory(C),Satisfactory(C),Satisfactory(C)
241,female,group E,bachelor's degree,standard,none,80,83,83,Good(B),Good(B),Good(B)
242,female,group D,high school,standard,none,56,52,55,Sufficient(D),Sufficient(D),Sufficient(D)
243,male,group E,some college,standard,none,59,51,43,Sufficient(D),Sufficient(D),Fail(F)
244,male,group D,some high school,standard,none,75,74,69,Satisfactory(C),Satisfactory(C),Satisfactory(C)
245,male,group C,associate's degree,standard,none,85,76,71,Good(B),Satisfactory(C),Satisfactory(C)
246,male,group E,associate's degree,standard,none,89,76,74,Good(B),Satisfactory(C),Satisfactory(C)
247,female,group B,high school,standard,completed,58,70,68,Sufficient(D),Satisfactory(C),Satisfactory(C)
248,female,group B,high school,standard,none,65,64,62,Satisfactory(C),Satisfactory(C),Sufficient(D)
249,male,group C,high school,standard,none,68,60,53,Satisfactory(C),Sufficient(D),Sufficient(D)
250,male,group A,some high school,standard,completed,47,49,49,Fail(F),Fail(F),Fail(F)
251,female,group D,some college,free/reduced,none,71,83,83,Satisfactory(C),Good(B),Good(B)
252,female,group B,some high school,standard,completed,60,70,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
253,male,group D,master's degree,standard,none,80,80,72,Good(B),Good(B),Satisfactory(C)
254,male,group D,high school,standard,none,54,52,52,Sufficient(D),Sufficient(D),Sufficient(D)
255,female,group E,some college,standard,none,62,73,70,Sufficient(D),Satisfactory(C),Satisfactory(C)
256,female,group C,associate's degree,free/reduced,none,64,73,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
257,male,group C,associate's degree,standard,completed,78,77,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
258,female,group B,some college,standard,none,70,75,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
259,female,group C,master's degree,free/reduced,completed,65,81,81,Satisfactory(C),Good(B),Good(B)
260,female,group C,some high school,free/reduced,completed,64,79,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
261,male,group C,some college,standard,completed,79,79,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
262,female,group C,some high school,free/reduced,none,44,50,51,Fail(F),Fail(F),Sufficient(D)
263,female,group E,high school,standard,none,99,93,90,Really good(A),Really good(A),Really good(A)
264,male,group D,high school,standard,none,76,73,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
265,male,group D,some high school,free/reduced,none,59,42,41,Sufficient(D),Fail(F),Fail(F)
266,female,group C,bachelor's degree,standard,none,63,75,81,Sufficient(D),Satisfactory(C),Good(B)
267,female,group D,high school,standard,none,69,72,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
268,female,group D,associate's degree,standard,completed,88,92,95,Good(B),Really good(A),Really good(A)
269,female,group E,some college,free/reduced,none,71,76,70,Satisfactory(C),Satisfactory(C),Satisfactory(C)
270,male,group C,bachelor's degree,standard,none,69,63,61,Satisfactory(C),Sufficient(D),Sufficient(D)
271,male,group C,some college,standard,none,58,49,42,Sufficient(D),Fail(F),Fail(F)
272,female,group D,associate's degree,free/reduced,none,47,53,58,Fail(F),Sufficient(D),Sufficient(D)
273,female,group D,some college,standard,none,65,70,71,Satisfactory(C),Satisfactory(C),Satisfactory(C)
274,male,group B,some college,standard,completed,88,85,76,Good(B),Good(B),Satisfactory(C)
275,male,group C,bachelor's degree,standard,none,83,78,73,Good(B),Satisfactory(C),Satisfactory(C)
276,female,group C,some high school,standard,completed,85,92,93,Good(B),Really good(A),Really good(A)
277,female,group E,high school,standard,completed,59,63,75,Sufficient(D),Sufficient(D),Satisfactory(C)
278,female,group C,some high school,free/reduced,none,65,86,80,Satisfactory(C),Good(B),Good(B)
279,male,group B,bachelor's degree,free/reduced,none,73,56,57,Satisfactory(C),Sufficient(D),Sufficient(D)
280,male,group D,high school,standard,none,53,52,42,Sufficient(D),Sufficient(D),Fail(F)
281,male,group D,high school,standard,none,45,48,46,Fail(F),Fail(F),Fail(F)
282,female,group D,bachelor's degree,free/reduced,none,73,79,84,Satisfactory(C),Satisfactory(C),Good(B)
283,female,group D,some college,free/reduced,completed,70,78,78,Satisfactory(C),Satisfactory(C),Satisfactory(C)
284,female,group B,some high school,standard,none,37,46,46,Fail(F),Fail(F),Fail(F)
285,male,group B,associate's degree,standard,completed,81,82,82,Good(B),Good(B),Good(B)
286,male,group E,associate's degree,standard,completed,97,82,88,Really good(A),Good(B),Good(B)
287,female,group B,some high school,standard,none,67,89,82,Satisfactory(C),Good(B),Good(B)
288,male,group B,bachelor's degree,free/reduced,none,88,75,76,Good(B),Satisfactory(C),Satisfactory(C)
289,male,group E,some high school,standard,completed,77,76,77,Satisfactory(C),Satisfactory(C),Satisfactory(C)
290,male,group C,associate's degree,standard,none,76,70,68,Satisfactory(C),Satisfactory(C),Satisfactory(C)
291,male,group D,some high school,standard,none,86,73,70,Good(B),Satisfactory(C),Satisfactory(C)
